ENRICHMENT_ID,CALL_ID,SENTIMENT_SCORE,SENTIMENT_LABEL,CALL_SUMMARY,DISPOSITION_CLASS,FOLLOW_UP_ACTION,CUSTOMER_OBJECTIONS,APPOINTMENT_DATE_EXTRACTED,MODEL_VERSION,PROCESSED_AT,CREATED_AT
ENR000038,CALL000038,-0.011,neutral,Agent successfully scheduled a Warranty Repair appointment for the customer's 2022 Honda Accord on January 25.,service_appointment,Transfer to sales team,,,cortex-llm-v1.2,2024-01-19 14:12:52,2024-01-19 13:56:52
ENR000039,CALL000039,0.701,positive,Agent discussed lease maturity options with the customer regarding their 2022 Ford and scheduled a sales consultation on January 09.,sales_appointment,Log callback for 2 weeks,,,cortex-llm-v1.2,2024-01-05 13:49:28,2024-01-05 13:42:28
ENR000040,CALL000040,0.317,positive,Agent reminded the customer about their overdue oil change for their 2020 Ford Accord and scheduled service on January 28.,service_appointment,Send appointment confirmation text,,2024-01-28,cortex-llm-v1.2,2024-01-19 10:54:04,2024-01-19 10:42:04
ENR000041,CALL000041,-0.047,neutral,Agent took a callback message for the customer as their service advisor was unavailable.,callback_request,Add to retention campaign,,,cortex-llm-v1.2,2024-01-05 10:39:21,2024-01-05 10:11:21
ENR000042,CALL000042,0.324,positive,Agent took a callback message for the customer as their service advisor was unavailable.,callback_request,Send appointment confirmation text,Too busy right now,,cortex-llm-v1.2,2024-01-06 14:02:32,2024-01-06 14:01:32
ENR000043,CALL000043,0.555,positive,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Escalate to service manager,Not ready to commit,,cortex-llm-v1.2,2024-01-29 07:58:10,2024-01-29 07:45:10
ENR000044,CALL000044,0.05,neutral,Agent successfully scheduled a Recall Repair appointment for the customer's 2020 Toyota 3 Series on January 20.,service_appointment,Mark as do-not-call and update CRM,,2024-01-20,cortex-llm-v1.2,2024-01-17 11:51:49,2024-01-17 11:30:49
ENR000045,CALL000045,0.131,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,No follow-up needed — appointment confirmed,Already have a mechanic,,cortex-llm-v1.2,2024-01-07 15:39:03,2024-01-07 15:17:03
ENR000046,CALL000046,0.213,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Escalate to service manager,,,cortex-llm-v1.2,2024-01-29 07:38:13,2024-01-29 07:14:13
ENR000047,CALL000047,0.68,positive,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,No follow-up needed — appointment confirmed,Too expensive,,cortex-llm-v1.2,2024-01-04 16:40:42,2024-01-04 16:33:42
ENR000048,CALL000048,0.02,neutral,Agent notified the customer of an open safety recall on their 2020 BMW 3 Series and scheduled a free recall repair on January 17.,service_appointment,Send appointment confirmation text,,,cortex-llm-v1.2,2024-01-08 17:36:06,2024-01-08 17:21:06
ENR000049,CALL000049,0.01,neutral,Agent completed a CSI follow-up call with the customer after their recent service visit. Customer gave positive feedback.,information_only,Mark as do-not-call and update CRM,,2024-01-25,cortex-llm-v1.2,2024-01-24 08:59:40,2024-01-24 08:49:40
ENR000050,CALL000050,0.288,neutral,Agent completed a CSI follow-up call with the customer after their recent service visit. Customer gave positive feedback.,information_only,Send service coupon via email,,2024-01-08,cortex-llm-v1.2,2024-01-03 08:43:21,2024-01-03 08:31:21
ENR000051,CALL000051,0.357,positive,Agent completed a CSI follow-up call with the customer after their recent service visit. Customer gave positive feedback.,information_only,Schedule follow-up call for next week,,2024-01-12,cortex-llm-v1.2,2024-01-03 15:22:06,2024-01-03 15:01:06
ENR000052,CALL000052,-0.208,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Send recall information via email,,,cortex-llm-v1.2,2024-01-11 11:59:02,2024-01-11 11:58:02
ENR000053,CALL000053,0.475,positive,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Send appointment confirmation text,Too busy right now,,cortex-llm-v1.2,2024-01-16 11:25:44,2024-01-16 11:23:44
ENR000054,CALL000054,0.067,neutral,Agent handled a wait-time complaint from the customer. Escalated to service manager and offered complimentary service credit.,complaint,Transfer to sales team,,,cortex-llm-v1.2,2024-01-09 10:45:32,2024-01-09 10:24:32
ENR000055,CALL000055,0.374,positive,Agent handled a wait-time complaint from the customer. Escalated to service manager and offered complimentary service credit.,complaint,Send recall information via email,Already have a mechanic,,cortex-llm-v1.2,2024-01-18 16:05:30,2024-01-18 15:54:30
ENR000056,CALL000056,-0.273,neutral,Agent reminded the customer about their overdue oil change for their 2020 Toyota Camry and scheduled service on January 28.,service_appointment,Add to retention campaign,,,cortex-llm-v1.2,2024-01-25 16:14:16,2024-01-25 16:13:16
ENR000057,CALL000057,0.14,neutral,Agent successfully scheduled a Brake Pad Replacement appointment for the customer's 2020 Ford 3 Series on January 13.,service_appointment,Mark as do-not-call and update CRM,,2024-01-13,cortex-llm-v1.2,2024-01-08 14:38:00,2024-01-08 14:21:00
ENR000058,CALL000058,0.321,positive,Agent reminded the customer about their overdue oil change for their 2019 Toyota F-150 and scheduled service on January 15.,service_appointment,Transfer to sales team,,2024-01-15,cortex-llm-v1.2,2024-01-14 10:17:26,2024-01-14 10:07:26
ENR000059,CALL000059,0.203,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Mark as do-not-call and update CRM,,,cortex-llm-v1.2,2024-01-02 10:01:51,2024-01-02 09:57:51
ENR000060,CALL000060,0.621,positive,Agent completed a CSI follow-up call with the customer after their recent service visit. Customer gave positive feedback.,information_only,Send appointment confirmation text,,2024-01-14,cortex-llm-v1.2,2024-01-08 16:13:51,2024-01-08 16:02:51
ENR000061,CALL000061,0.259,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Send service coupon via email,Already have a mechanic,,cortex-llm-v1.2,2024-01-05 12:52:56,2024-01-05 12:30:56
ENR000062,CALL000062,0.322,positive,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Log callback for 2 weeks,Too busy right now,,cortex-llm-v1.2,2024-01-14 12:16:27,2024-01-14 11:52:27
ENR000063,CALL000063,0.423,positive,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Schedule follow-up call for next week,Already have a mechanic,,cortex-llm-v1.2,2024-01-12 17:01:20,2024-01-12 16:47:20
ENR000064,CALL000064,0.299,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Log callback for 2 weeks,Just had service done,,cortex-llm-v1.2,2024-01-29 13:38:48,2024-01-29 13:15:48
ENR000065,CALL000065,0.357,positive,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Transfer to sales team,Too expensive,,cortex-llm-v1.2,2024-01-13 11:10:59,2024-01-13 11:02:59
ENR000066,CALL000066,0.143,neutral,Agent handled a wait-time complaint from the customer. Escalated to service manager and offered complimentary service credit.,complaint,Add to retention campaign,Already have a mechanic,,cortex-llm-v1.2,2024-01-18 11:19:56,2024-01-18 11:05:56
ENR000067,CALL000067,0.199,neutral,Agent handled a wait-time complaint from the customer. Escalated to service manager and offered complimentary service credit.,complaint,Log callback for 2 weeks,,,cortex-llm-v1.2,2024-01-05 13:32:44,2024-01-05 13:23:44
ENR000068,CALL000068,-0.175,neutral,Agent successfully scheduled a Transmission Service appointment for the customer's 2020 Toyota F-150 on February 05.,service_appointment,Send service coupon via email,Not ready to commit,,cortex-llm-v1.2,2024-01-29 12:39:30,2024-01-29 12:14:30
ENR000069,CALL000069,-0.184,neutral,Agent completed a CSI follow-up call with the customer after their recent service visit. Customer gave positive feedback.,information_only,No follow-up needed — appointment confirmed,,2024-01-10,cortex-llm-v1.2,2024-01-03 12:51:49,2024-01-03 12:41:49
ENR000070,CALL000070,0.497,positive,Agent discussed lease maturity options with the customer regarding their 2022 Ford and scheduled a sales consultation on January 13.,sales_appointment,Transfer to sales team,,2024-01-13,cortex-llm-v1.2,2024-01-07 15:05:08,2024-01-07 14:51:08
ENR000071,CALL000071,0.076,neutral,Agent handled a wait-time complaint from the customer. Escalated to service manager and offered complimentary service credit.,complaint,Schedule follow-up call for next week,,,cortex-llm-v1.2,2024-01-14 11:08:16,2024-01-14 10:47:16
ENR000072,CALL000072,0.319,positive,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Send appointment confirmation text,,,cortex-llm-v1.2,2024-01-25 16:32:15,2024-01-25 16:16:15
ENR000073,CALL000073,0.293,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Schedule follow-up call for next week,,,cortex-llm-v1.2,2024-01-26 10:18:02,2024-01-26 10:02:02
ENR000074,CALL000074,0.317,positive,Agent discussed lease maturity options with the customer regarding their 2019 Chevrolet and scheduled a sales consultation on February 04.,sales_appointment,Send service coupon via email,,2024-02-04,cortex-llm-v1.2,2024-01-29 08:06:45,2024-01-29 07:43:45
ENR000075,CALL000075,0.019,neutral,Agent reminded the customer about their overdue oil change for their 2020 Chevrolet Equinox and scheduled service on January 07.,service_appointment,Send appointment confirmation text,,2024-01-07,cortex-llm-v1.2,2024-01-03 09:50:44,2024-01-03 09:45:44
ENR000076,CALL000076,0.451,positive,Agent notified the customer of an open safety recall on their 2021 Honda Accord and scheduled a free recall repair on January 13.,service_appointment,Add to retention campaign,,2024-01-13,cortex-llm-v1.2,2024-01-05 16:31:35,2024-01-05 16:06:35
ENR000077,CALL000077,0.552,positive,Agent successfully scheduled a Wiper Blade Replacement appointment for the customer's 2022 BMW Accord on January 11.,service_appointment,Mark as do-not-call and update CRM,,2024-01-11,cortex-llm-v1.2,2024-01-07 15:04:01,2024-01-07 14:37:01
ENR000078,CALL000078,0.258,neutral,Agent discussed lease maturity options with the customer regarding their 2019 Chevrolet and scheduled a sales consultation on January 12.,sales_appointment,Log callback for 2 weeks,,2024-01-12,cortex-llm-v1.2,2024-01-05 09:55:21,2024-01-05 09:35:21
ENR000079,CALL000079,-0.091,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Transfer to sales team,,,cortex-llm-v1.2,2024-01-09 18:46:05,2024-01-09 18:36:05
ENR000080,CALL000080,0.364,positive,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Add to retention campaign,,,cortex-llm-v1.2,2024-01-12 18:18:17,2024-01-12 18:13:17
ENR000081,CALL000081,-0.024,neutral,Agent took a callback message for the customer as their service advisor was unavailable.,callback_request,Log callback for 2 weeks,Just had service done,,cortex-llm-v1.2,2024-01-26 11:08:24,2024-01-26 10:45:24
ENR000082,CALL000082,0.659,positive,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Add to retention campaign,Not ready to commit,,cortex-llm-v1.2,2024-01-01 15:24:28,2024-01-01 15:01:28
ENR000083,CALL000083,0.013,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Send recall information via email,Just had service done,,cortex-llm-v1.2,2024-01-21 14:31:44,2024-01-21 14:18:44
ENR000084,CALL000084,0.082,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Escalate to service manager,Not ready to commit,,cortex-llm-v1.2,2024-01-09 12:17:28,2024-01-09 12:11:28
ENR000085,CALL000085,0.123,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,No follow-up needed — appointment confirmed,,,cortex-llm-v1.2,2024-01-09 08:53:04,2024-01-09 08:44:04
ENR000086,CALL000086,0.244,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Send recall information via email,Too busy right now,,cortex-llm-v1.2,2024-01-28 09:11:24,2024-01-28 08:43:24
ENR000087,CALL000087,0.519,positive,Agent notified the customer of an open safety recall on their 2022 BMW Accord and scheduled a free recall repair on January 16.,service_appointment,Escalate to service manager,,2024-01-16,cortex-llm-v1.2,2024-01-06 11:31:37,2024-01-06 11:06:37
ENR000088,CALL000088,0.778,positive,Agent notified the customer of an open safety recall on their 2022 Chevrolet F-150 and scheduled a free recall repair on January 08.,service_appointment,Schedule follow-up call for next week,,2024-01-08,cortex-llm-v1.2,2024-01-06 17:04:00,2024-01-06 16:39:00
ENR000089,CALL000089,0.168,neutral,Agent handled a wait-time complaint from the customer. Escalated to service manager and offered complimentary service credit.,complaint,Send service coupon via email,,,cortex-llm-v1.2,2024-01-04 09:36:09,2024-01-04 09:29:09
ENR000090,CALL000090,0.436,positive,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Add to retention campaign,,,cortex-llm-v1.2,2024-01-22 10:07:15,2024-01-22 09:55:15
ENR000091,CALL000091,0.709,positive,Agent completed a CSI follow-up call with the customer after their recent service visit. Customer gave positive feedback.,information_only,Add to retention campaign,,2024-01-21,cortex-llm-v1.2,2024-01-12 08:43:20,2024-01-12 08:26:20
ENR000092,CALL000092,0.694,positive,Agent notified the customer of an open safety recall on their 2019 Toyota Camry and scheduled a free recall repair on January 30.,service_appointment,Send appointment confirmation text,,2024-01-30,cortex-llm-v1.2,2024-01-21 11:20:04,2024-01-21 11:18:04
ENR000093,CALL000093,0.473,positive,Agent completed a CSI follow-up call with the customer after their recent service visit. Customer gave positive feedback.,information_only,Log callback for 2 weeks,,2024-01-29,cortex-llm-v1.2,2024-01-22 15:24:43,2024-01-22 14:56:43
ENR000094,CALL000094,0.699,positive,Agent reminded the customer about their overdue oil change for their 2019 Honda Equinox and scheduled service on January 12.,service_appointment,No follow-up needed — appointment confirmed,,2024-01-12,cortex-llm-v1.2,2024-01-05 09:54:51,2024-01-05 09:51:51
ENR000095,CALL000095,-0.279,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Send appointment confirmation text,Not ready to commit,,cortex-llm-v1.2,2024-01-12 14:16:59,2024-01-12 14:13:59
ENR000096,CALL000096,0.024,neutral,Agent completed a CSI follow-up call with the customer after their recent service visit. Customer gave positive feedback.,information_only,Add to retention campaign,,2024-01-25,cortex-llm-v1.2,2024-01-16 12:52:55,2024-01-16 12:33:55
ENR000097,CALL000097,0.499,positive,Agent discussed lease maturity options with the customer regarding their 2020 BMW and scheduled a sales consultation on January 29.,sales_appointment,Mark as do-not-call and update CRM,Not ready to commit,,cortex-llm-v1.2,2024-01-26 14:11:39,2024-01-26 14:04:39
ENR000098,CALL000098,0.481,positive,Agent discussed lease maturity options with the customer regarding their 2020 Ford and scheduled a sales consultation on January 19.,sales_appointment,No follow-up needed — appointment confirmed,,2024-01-19,cortex-llm-v1.2,2024-01-13 09:12:27,2024-01-13 08:44:27
ENR000099,CALL000099,-0.279,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Send service coupon via email,,,cortex-llm-v1.2,2024-01-06 10:36:16,2024-01-06 10:29:16
ENR000100,CALL000100,0.317,positive,Agent successfully scheduled a Battery Replacement appointment for the customer's 2020 Chevrolet Equinox on January 12.,service_appointment,Transfer to sales team,,2024-01-12,cortex-llm-v1.2,2024-01-08 17:10:26,2024-01-08 16:44:26
ENR000101,CALL000101,0.379,positive,Agent took a callback message for the customer as their service advisor was unavailable.,callback_request,No follow-up needed — appointment confirmed,Too busy right now,,cortex-llm-v1.2,2024-01-01 15:53:04,2024-01-01 15:33:04
ENR000102,CALL000102,0.29,neutral,Agent notified the customer of an open safety recall on their 2022 BMW Accord and scheduled a free recall repair on January 24.,service_appointment,No follow-up needed — appointment confirmed,,2024-01-24,cortex-llm-v1.2,2024-01-15 10:04:38,2024-01-15 10:01:38
ENR000103,CALL000103,0.229,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Log callback for 2 weeks,,,cortex-llm-v1.2,2024-01-18 12:49:34,2024-01-18 12:30:34
ENR000104,CALL000104,0.326,positive,Agent successfully scheduled a Battery Replacement appointment for the customer's 2021 BMW Equinox on January 04.,service_appointment,Escalate to service manager,,2024-01-04,cortex-llm-v1.2,2024-01-01 13:31:42,2024-01-01 13:12:42
ENR000105,CALL000105,0.058,neutral,Agent successfully scheduled a Wheel Alignment appointment for the customer's 2020 BMW 3 Series on January 10.,service_appointment,Schedule follow-up call for next week,Just had service done,,cortex-llm-v1.2,2024-01-06 12:21:25,2024-01-06 11:57:25
ENR000106,CALL000106,0.375,positive,Agent took a callback message for the customer as their service advisor was unavailable.,callback_request,Schedule follow-up call for next week,,,cortex-llm-v1.2,2024-01-20 12:54:41,2024-01-20 12:42:41
ENR000107,CALL000107,0.242,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Send appointment confirmation text,Not ready to commit,,cortex-llm-v1.2,2024-01-19 14:44:39,2024-01-19 14:18:39
ENR000108,CALL000108,-0.118,neutral,Agent reminded the customer about their overdue oil change for their 2019 Honda F-150 and scheduled service on February 05.,service_appointment,Add to retention campaign,,,cortex-llm-v1.2,2024-01-29 14:43:18,2024-01-29 14:14:18
ENR000109,CALL000109,0.332,positive,Agent took a callback message for the customer as their service advisor was unavailable.,callback_request,Mark as do-not-call and update CRM,Too busy right now,,cortex-llm-v1.2,2024-01-27 09:56:15,2024-01-27 09:28:15
ENR000110,CALL000110,0.556,positive,Agent successfully scheduled a Multi-Point Inspection appointment for the customer's 2022 Honda 3 Series on January 14.,service_appointment,No follow-up needed — appointment confirmed,,2024-01-14,cortex-llm-v1.2,2024-01-04 08:36:48,2024-01-04 08:34:48
ENR000111,CALL000111,0.289,neutral,Agent completed a CSI follow-up call with the customer after their recent service visit. Customer gave positive feedback.,information_only,Log callback for 2 weeks,Too expensive,,cortex-llm-v1.2,2024-01-02 13:42:20,2024-01-02 13:41:20
ENR000112,CALL000112,-0.063,neutral,Agent took a callback message for the customer as their service advisor was unavailable.,callback_request,Send service coupon via email,Not ready to commit,,cortex-llm-v1.2,2024-01-15 11:33:35,2024-01-15 11:20:35
ENR000113,CALL000113,0.274,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Schedule follow-up call for next week,Already have a mechanic,,cortex-llm-v1.2,2024-01-01 09:56:33,2024-01-01 09:40:33
ENR000114,CALL000114,0.075,neutral,Agent reminded the customer about their overdue oil change for their 2022 BMW Accord and scheduled service on January 13.,service_appointment,Send appointment confirmation text,,2024-01-13,cortex-llm-v1.2,2024-01-05 10:32:01,2024-01-05 10:14:01
ENR000115,CALL000115,0.278,neutral,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Mark as do-not-call and update CRM,Already have a mechanic,,cortex-llm-v1.2,2024-01-23 13:45:49,2024-01-23 13:31:49
ENR000116,CALL000116,0.31,positive,Customer the customer declined to schedule at this time and requested a callback in two weeks.,callback_request,Send service coupon via email,Too expensive,,cortex-llm-v1.2,2024-01-06 11:24:58,2024-01-06 11:19:58
ENR000117,CALL000117,0.435,positive,Agent notified the customer of an open safety recall on their 2020 Ford F-150 and scheduled a free recall repair on January 21.,service_appointment,Send appointment confirmation text,,2024-01-21,cortex-llm-v1.2,2024-01-12 15:54:58,2024-01-12 15:32:58
